Todo,Difficulty,Type,Category,Rating,Political,Bit idea,Expanded Concept,Programmatic / Tech Steps,Notes / Risks,Outline Dialog/Steps,Assets Needed
,Mid,Bit,SciFi,G,No,Talk to a hologram,"Developed bit: Talk to a hologram. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Space/cockpit background plates; abduction beam clip; sci-fi SFX pack.
,Mid,Bit,Politics,G,y,"Paul Patson, running for President","Full bit: Paul Patson, running for President. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Character-voice preset: distorted face + edited VO clips on buttons; keep it punchline-forward, never a lecture.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Character-voice preset (face distortion); edited VO clip buttons; punchline-first script.
,Mid,Bit,Sketch,G,No,"Blur out d* pics filter, when talking onscreen to someone","Developed bit: Blur out d* pics filter, when talking onscreen to someone. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Face-filter stack: each filter on its own app button, cycle order rehearsed; camera-tracked filters need good front-light on the head.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Face-filter pack (list per bit); head-tracking calibration; front-light note.
,Mid,Bit,Politics,G,y,"Have the emoticons protest that they are being politicized (rainbow, equal sign, squirt gun, hashtag, colored ribbons) unicorn, cows, earth are afraid(peace sign was victory, ok sign)","Full bit: Have the emoticons protest that they are being politicized (rainbow, equal sign, squirt gun, hashtag, colored ribbons) unicorn, cows, earth are afraid(peace sign was victory, ok sign). Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Character-voice preset: distorted face + edited VO clips on buttons; keep it punchline-forward, never a lecture.","Gun material: keep it cartoonish, zero realistic mimicry; venues and insurers are touchy.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Character-voice preset (face distortion); edited VO clip buttons; punchline-first script.
,Hard,Bit,Audience,G,No,Use a pic from the audience and picture reenactment to have an argument with them (ie girlfriend/breakup),"Set piece: Use a pic from the audience and picture reenactment to have an argument with them (ie girlfriend/breakup). Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Game,G,No,"Have a wheel of comedy, that spins pics of different comedians(HC, Headini, HC Ventriloquist, etc)","Set piece: Have a wheel of comedy, that spins pics of different comedians(HC, Headini, HC Ventriloquist, etc). Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Scoreboard overlay; buzzer/lock-in SFX; board/category graphics; contestant app config.
,Mid,Bit,Sketch,G,No,"Have a DonRickles insult comedy character, mean like the JeffRoss roasts...","Developed bit: Have a DonRickles insult comedy character, mean like the JeffRoss roasts.... Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,No,"Stop abbreving, you’re exaging, what hap, no prob, bruh","Full bit: Stop abbreving, you’re exaging, what hap, no prob, bruh. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,SciFi,G,No,Lets see what Randy Quaid has to say,"Developed bit: Lets see what Randy Quaid has to say. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,No,Do a bit where I fact check funny memes,"Full bit: Bit where I fact check funny memes. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,No,This is what I meant by flawed logic. Do some crazy ideas like the 'we have to eat the babies to stop climate change' troll,"Full bit: This is what I meant by flawed logic. Do some crazy ideas like the 'we have to eat the babies to stop climate change' troll. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,No,Do play by play at the oppression olympics,"Full bit: Do play by play at the oppression olympics. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Commercial,G,No,"Mr Cliche, Do a old time country guy who uses cowboy sayings, or a bad humor guy who keeps saying stupid cliches","Full bit: Mr Cliche, Do a old time country guy who uses cowboy sayings, or a bad humor guy who keeps saying stupid cliches. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Audience,G,No,"Do a John Edwards like thing, get a picture of the audience member relative then have the picture talk","Full bit: John Edwards like thing, get a picture of the audience member relative then have the picture talk. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Audience-cam pass-through to head/rear screens; rehearse crop/freeze on a stand-in, keep latency under ~200ms.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Music,PG,No,"Have some evil character play with color contrast settings until im bblackface, then start 80's rapping","Full bit: Have some evil character play with color contrast settings until im bblackface, then start 80's rapping. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app. + Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting.",BLACKFACE-ADJACENT: serious venue/broadcast risk; rework or cut - there is almost always a better version of this joke.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Commercial,G,No,It's time to play are you dumber than a 5th grader,"Developed bit: It's time to play are you dumber than a 5th grader. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,No,Have a cute face filter that turns into exploding zits or face melting,"Full bit: Have a cute face filter that turns into exploding zits or face melting. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Face-filter stack: each filter on its own app button, cycle order rehearsed; camera-tracked filters need good front-light on the head.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Face-filter pack (list per bit); head-tracking calibration; front-light note.
,Mid,Bit,Commercial,G,No,Evolution of breasts because of 2 headed babies,"Developed bit: Evolution of breasts because of 2 headed babies. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Spooky,G,No,Golden girls reboot with skeletons,"Set piece: Golden girls reboot with skeletons. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","System-glitch presets: BSOD, buffering wheel, test-pattern - each on its own button with matching SFX; face restores with a reboot chime. + X-ray/skeleton filter on the head; snap-on with a scanner SFX, one beat, off.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",BSOD card; buffering spinner animation; color-bars card; power-down + reboot chimes. X-ray/skeleton face filter; scanner SFX.
,Hard,Bit,History,G,No,"Have a time traveler from the 1980s visit excited to see breakthrus like flying cars, only to see that we've removed women from tampon packages, etc","Set piece: Have a time traveler from the 1980s visit excited to see breakthrus like flying cars, only to see that we've removed women from tampon packages, etc. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,No,Motorboat at Flash speed,"Full bit: Motorboat at Flash speed. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Audience,G,No,"Do various characters like a Russian comrade, etc. Tell a joke or do an impression and have the audience swipe left or swipe right","Set piece: Do various characters like a Russian comrade, etc. Tell a joke or do an impression and have the audience swipe left or swipe right. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Music,G,No,"Have a character call me OK Boomer, then call a meeting to come up with a comeback, then say Ok Z-tard (with big graphics)","Developed bit: Have a character call me OK Boomer, then call a meeting to come up with a comeback, then say Ok Z-tard (with big graphics). Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Fake-call UI overlay (FaceTime/Zoom style): ringtone SFX, answer/decline buttons, pre-recorded caller clips cut as clean answers on their own buttons. + Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting. + Pyro-SFX cue: screens flash + concussive SFX while the performer sells the blast; no real pyro needed.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Flash-frame clip; concussive SFX; screens white-flash macro (no real pyro). Thug-life sticker pack; 'ohhh' sting SFX; auto-reset burn preset.
,Mid,Bit,Sketch,G,No,Tell trigger jokes with triggers and explosions going off,"Set piece: Tell trigger jokes with triggers and explosions going off. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.",Pyro-SFX cue: screens flash + concussive SFX while the performer sells the blast; no real pyro needed.,Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Flash-frame clip; concussive SFX; screens white-flash macro (no real pyro).
,Mid,Bit,Sketch,G,No,show gas mask and smoke to accuse someone of smelling,"Developed bit: Show gas mask and smoke to accuse someone of smelling. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Face-filter pack (list per bit); head-tracking calibration; front-light note.
,Mid,Bit,Music,G,No,"Have an embarrassing ringtone for someone, then answer  (i e I like big butts, ‘Hi Mom’)","Full bit: Have an embarrassing ringtone for someone, then answer (i e I like big butts, ‘Hi Mom’). Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Backing track (custom/licensed); lyric overlay template; bouncing-ball animation; song lighting macro; final sting SFX.
,Mid,Bit,Music,G,No,"Do a masked singer funny song with clues and reveal, dead person reveal a skeleton","Developed bit: Masked singer funny song with clues and reveal, dead person reveal a skeleton. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting. + X-ray/skeleton filter on the head; snap-on with a scanner SFX, one beat, off.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Backing track (custom/licensed); lyric overlay template; bouncing-ball animation; song lighting macro; final sting SFX. X-ray/skeleton face filter; scanner SFX.
,Mid,Bit,Audience,G,No,Do a spooky/funny computer vision thing with the audience can,"Developed bit: Spooky/funny computer vision thing with the audience can. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,No,Do the whole set with a big baby face filter,"Developed bit: Do the whole set with a big baby face filter. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Face-filter stack: each filter on its own app button, cycle order rehearsed; camera-tracked filters need good front-light on the head.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Face-filter pack (list per bit); head-tracking calibration; front-light note.
,Mid,Bit,Audience,G,No,Fly a drone with camera(or fake a cloaked drone) over the audience and shoot laser at them,"Developed bit: Fly a drone with camera(or fake a cloaked drone) over the audience and shoot laser at them. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Action-loop preset: rear screens run the attack/game clip, head shows game HUD; choreograph safe directions, nothing real gets fired. + Drone POV feed to screens (or fake 'cloaked drone' footage); venue approval + spotter required, never flies over heads.","Safety: venue approval, insurance, spotter; never over the crowd.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Zombie/attack loop clip (green-screen elements); game-HUD overlay; hit SFX; direction choreography note. Drone-cam feed pipeline OR pre-shot 'fake drone' footage; venue approval + spotter. Animated bug overlay (loops around head); swat/zip SFX.
,Mid,Bit,Music,G,No,Using poster board with a hole cut for someone’s face... us projection tracking and mapping to turnt them into head case,"Developed bit: Using poster board with a hole cut for someone’s face... us projection tracking and mapping to turnt them into head case. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Backing track (custom/licensed); lyric overlay template; bouncing-ball animation; song lighting macro; final sting SFX.
,Mid,Bit,Sketch,G,No,Show clips with Boomer Esiason and just keep saying ok boomer,"Developed bit: Show clips with Boomer Esiason and just keep saying ok boomer. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.",Pyro-SFX cue: screens flash + concussive SFX while the performer sells the blast; no real pyro needed.,Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Flash-frame clip; concussive SFX; screens white-flash macro (no real pyro).
,Mid,Bit,Audience,G,No,Take a face pic of someone in the audience and then get in a Twitter war with them. Pretending they have made fake post insults about the show.,"Full bit: Take a face pic of someone in the audience and then get in a Twitter war with them. Pretending they have made fake post insults about the show.. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.","IP/likeness caution: parody hard, don't clone names/voices/logos verbatim; pre-cleared or self-made assets only.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,No,Show a tally of fines for offensive jokes,"Full bit: Show a tally of fines for offensive jokes. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Tech-Call,G,No,FaceTime to satan,"Developed bit: FaceTime to satan. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Fake-call UI overlay (FaceTime/Zoom style): ringtone SFX, answer/decline buttons, pre-recorded caller clips cut as clean answers on their own buttons.","Religious material: land the punchline on the situation, not the faith; expect some walk-outs either direction.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.","Fake-call UI overlay (PSD); ringtone SFX; 3-5 pre-recorded caller clips (15-30s each, cut as clean answers); FaceTime-style UI soundbed. Church backdrop plate; choir/organ sting; smart-script review."
